sample	unstable_loci	total_loci	MSI_score	MSI_status
s001	155	227	0.6828	1
s002	149	229	0.6507	1
s003	172	230	0.7478	1
s004	168	229	0.7336	1
s005	158	229	0.69	1
s006	177	230	0.7696	1
s007	173	231	0.7489	1
s008	137	231	0.5931	1
s009	149	229	0.6507	1
s010	158	228	0.693	1
s011	175	230	0.7609	1
s012	200	231	0.8658	1
s013	153	229	0.6681	1
s014	166	229	0.7249	1
s015	178	231	0.7706	1
s016	195	230	0.8478	1
s017	154	231	0.6667	1
s018	149	230	0.6478	1
s019	167	230	0.7261	1
s020	181	231	0.7835	1
s021	132	226	0.5841	0
s022	128	231	0.5541	1
s023	164	231	0.71	1
s024	165	231	0.7143	1
s025	191	231	0.8268	1
s026	56	214	0.2617	0
s027	39	176	0.2216	0
s028	40	184	0.2174	0
s029	53	185	0.2865	0
s030	36	231	0.1558	0
s031	44	195	0.2256	0
s032	35	162	0.216	0
s033	39	231	0.1688	0
s034	73	219	0.3333	0
s035	81	231	0.3506	0
s036	34	231	0.1472	0
